Macpherson  Item #,Item Category,Mac  ID Reference,Description,UOM,Copic Item No/ UPC,Currency,Incremental MOQ
CMIN-Y08,Copic Ink,CMIN-Y08,INK 12ML Y08 ACID YELLOW,EA,4511338058190,USD,3
CMIN-Y11,Copic Ink,CMIN-Y11,INK 12ML Y11 PALE YELLOW,EA,4511338058206,USD,3
CMIN-Y13,Copic Ink,CMIN-Y13,INK 12ML Y13 LEMON YELLOW,EA,4511338058213,USD,3
CMIN-Y15,Copic Ink,CMIN-Y15,INK 12ML Y15 CADMIUM YELLOW,EA,4511338058220,USD,3
CMIN-Y17,Copic Ink,CMIN-Y17,INK 12ML Y17 GOLDEN YELLOW,EA,4511338058237,USD,3
CMIN-Y18,Copic Ink,CMIN-Y18,INK 12ML Y18 LIGHTNING YLLW,EA,4511338058244,USD,3
CMIN-Y19,Copic Ink,CMIN-Y19,INK 12ML Y19 NAPOLI YELLOW,EA,4511338058251,USD,3
CMIN-Y21,Copic Ink,CMIN-Y21,INK 12ML Y21 BUTTERCUP YLLW,EA,4511338058268,USD,3
CMIN-Y23,Copic Ink,CMIN-Y23,INK 12ML Y23 YELLOWISH BEIGE,EA,4511338058275,USD,3
CMIN-Y26,Copic Ink,CMIN-Y26,INK 12ML Y26 MUSTARD,EA,4511338058282,USD,3
CMIN-Y28,Copic Ink,CMIN-Y28,INK 12ML Y28 LIONET GOLD,EA,4511338058299,USD,3
CMIN-Y32,Copic Ink,CMIN-Y32,INK 12ML Y32 CASHMERE,EA,4511338058305,USD,3
CMIN-Y35,Copic Ink,CMIN-Y35,INK 12ML Y35 MAIZE,EA,4511338058312,USD,3
CMIN-Y38,Copic Ink,CMIN-Y38,INK 12ML Y38 HONEY,EA,4511338058329,USD,3
CMIN-YG0000,Copic Ink,CMIN-YG0000,INK 12ML YG0000 LILY WHITE,EA,4511338058336,USD,3
CMIN-YG00,Copic Ink,CMIN-YG00,INK 12ML YG00 MIMOSA YELLOW,EA,4511338058343,USD,3
CMIN-YG01,Copic Ink,CMIN-YG01,INK 12ML YG01 GREEN BICE,EA,4511338058350,USD,3
CMIN-YG03,Copic Ink,CMIN-YG03,INK 12ML YG03 YELLOW GREEN,EA,4511338058367,USD,3
CMIN-YG05,Copic Ink,CMIN-YG05,INK 12ML YG05 SALAD,EA,4511338058374,USD,3
CMIN-YG06,Copic Ink,CMIN-YG06,INK 12ML YG06 YELLOWISH GREEN,EA,4511338058381,USD,3
CMIN-YG07,Copic Ink,CMIN-YG07,INK 12ML YG07 ACID GREEN,EA,4511338058398,USD,3
CMIN-YG09,Copic Ink,CMIN-YG09,INK 12ML YG09 LETTUCE GREEN,EA,4511338058404,USD,3
CMIN-YG11,Copic Ink,CMIN-YG11,INK 12ML YG11 MIGNONETTE,EA,4511338058411,USD,3
CMIN-YG13,Copic Ink,CMIN-YG13,INK 12ML YG13 CHATREUSE,EA,4511338058428,USD,3
CMIN-YG17,Copic Ink,CMIN-YG17,INK 12ML YG17 GRASS GREEN,EA,4511338058435,USD,3
CMIN-YG21,Copic Ink,CMIN-YG21,INK 12ML YG21 ANISE,EA,4511338058442,USD,3
CMIN-YG23,Copic Ink,CMIN-YG23,INK 12ML YG23 NEW LEAF,EA,4511338058459,USD,3
CMIN-YG25,Copic Ink,CMIN-YG25,INK 12ML YG25 CELADON GREEN,EA,4511338058466,USD,3
CMIN-YG41,Copic Ink,CMIN-YG41,INK 12ML YG41 PALE COBLT GREEN,EA,4511338058473,USD,3
CMIN-YG45,Copic Ink,CMIN-YG45,INK 12ML YG45 COBALT GREEN,EA,4511338058480,USD,3
CMIN-YG61,Copic Ink,CMIN-YG61,INK 12ML YG61 PALE MOSS,EA,4511338058497,USD,3
CMIN-YG63,Copic Ink,CMIN-YG63,INK 12ML YG63 PEA GREEN,EA,4511338058503,USD,3
CMIN-YG67,Copic Ink,CMIN-YG67,INK 12ML YG67 MOSS,EA,4511338058510,USD,3
CMIN-YG91,Copic Ink,CMIN-YG91,INK 12ML YG91 PUTTY,EA,4511338058527,USD,3
CMIN-YG93,Copic Ink,CMIN-YG93,INK 12ML YG93 GRAYISH YELLOW,EA,4511338058534,USD,3
CMIN-YG95,Copic Ink,CMIN-YG95,INK 12ML YG95 PALE OLIVE,EA,4511338058541,USD,3
CMIN-YG97,Copic Ink,CMIN-YG97,INK 12ML YG97 SPANISH OLIVE,EA,4511338058558,USD,3
CMIN-YG99,Copic Ink,CMIN-YG99,INK 12ML YG99 MARINE GREEN,EA,4511338058565,USD,3
CMIN-YR0000,Copic Ink,CMIN-YR0000,INK 12ML YR0000 PALE CHIFFON,EA,4511338058572,USD,3
CMIN-YR000,Copic Ink,CMIN-YR000,INK 12ML YR000 SILK,EA,4511338058589,USD,3
CMIN-YR00,Copic Ink,CMIN-YR00,INK 12ML YR00 POWDER PINK,EA,4511338058596,USD,3
CMIN-YR01,Copic Ink,CMIN-YR01,INK 12ML YR01 PEACH PUFF,EA,4511338058602,USD,3
CMIN-YR02,Copic Ink,CMIN-YR02,INK 12ML YR02 LIGHT ORANGE,EA,4511338058619,USD,3
CMIN-YR04,Copic Ink,CMIN-YR04,INK 12ML YR04 CHROME ORANGE,EA,4511338058626,USD,3
CMIN-YR07,Copic Ink,CMIN-YR07,INK 12ML YR07 CADMIUM ORANGE,EA,4511338058633,USD,3
CMIN-YR09,Copic Ink,CMIN-YR09,INK 12ML YR09 CHINESE ORANGE,EA,4511338058640,USD,3
CMIN-YR12,Copic Ink,CMIN-YR12,INK 12ML YR12 LOQUAT,EA,4511338058657,USD,3
CMIN-YR14,Copic Ink,CMIN-YR14,INK 12ML YR14 CARAMEL,EA,4511338058664,USD,3
CMIN-YR15,Copic Ink,CMIN-YR15,INK 12ML YR15 PUMPKIN YELLOW,EA,4511338058671,USD,3
CMIN-YR16,Copic Ink,CMIN-YR16,INK 12ML YR16 APRICOT,EA,4511338058688,USD,3
CMIN-YR18,Copic Ink,CMIN-YR18,INK 12ML YR18 SANGUINE,EA,4511338058695,USD,3
CMIN-YR20,Copic Ink,CMIN-YR20,INK 12ML YR20 YELLOWISH SHADE,EA,4511338058701,USD,3
CMIN-YR21,Copic Ink,CMIN-YR21,INK 12ML YR21 CREAM,EA,4511338058718,USD,3
CMIN-YR23,Copic Ink,CMIN-YR23,INK 12ML YR23 YELLOW OCHRE,EA,4511338058725,USD,3
CMIN-YR24,Copic Ink,CMIN-YR24,INK 12ML YR24 PALE SEPIA,EA,4511338058732,USD,3
CMIN-YR27,Copic Ink,CMIN-YR27,INK 12ML YR27 TUSCAN ORANGE,EA,4511338058749,USD,3
CMIN-YR30,Copic Ink,CMIN-YR30,INK 12ML YR30 MACADAMIA NUT,EA,4511338058756,USD,3
CMIN-YR31,Copic Ink,CMIN-YR31,INK 12ML YR31 LT REDDISH YEL,EA,4511338058763,USD,3
CMIN-YR61,Copic Ink,CMIN-YR61,INK 12ML YR61 SPRING ORANGE,EA,4511338058770,USD,3
CMIN-YR65,Copic Ink,CMIN-YR65,INK 12ML YR65 ATOLL,EA,4511338058787,USD,3
CMIN-YR68,Copic Ink,CMIN-YR68,INK 12ML YR68 ORANGE,EA,4511338058794,USD,3
CMIN-YR82,Copic Ink,CMIN-YR82,INK 12ML YR82 MELLOW PEACH,EA,4511338058800,USD,3
CMIN-FRV1,Copic Ink,CMIN-FRV1,INK 12ML FRV FLUOR PINK,EA,4511338058817,USD,3
CMIN-FY1,Copic Ink,CMIN-FY1,INK 12ML FY1 FLUOR YLLW ORANG,EA,4511338058824,USD,3
CMIN-FYG1,Copic Ink,CMIN-FYG1,INK 12ML FYG1 FLUOR YELLOW,EA,4511338058831,USD,3
CMIN-FYR1,Copic Ink,CMIN-FYR1,INK 12ML FYR1 FLUOR ORANGE,EA,4511338058848,USD,3
CMIN-FV2,Copic Ink,CMIN-FV2,INK 12ML FV2 FLO DULL VIOLET,EA,4511338058855,USD,3
CMIN-FYG2,Copic Ink,CMIN-FYG2,INK 12ML FYG2 FLUOR DULL YEL,EA,4511338058862,USD,3
CMIN-FB2,Copic Ink,CMIN-FB2,INK 12ML FB2 FLUOR DULL BLU,EA,4511338058879,USD,3
CMIN-FBG2,Copic Ink,CMIN-FBG2,INK 12ML FBG2 FLUOR DULL BG,EA,4511338058886,USD,3
CMIN-EMPTY,Copic Ink,CMIN-EMPTY,INK 12ML EMPTY CONTAINER,EA,4511338058893,USD,3
CMVBL200CC,Copic Ink Access,CMVBL200CC,VARIOUS INK BLENDER 200CC,EA,4511338005811,USD,5
CMCOPQW,Copic Ink Access,CMCOPQW,COPIC OPAQUE WHT 10ML PIGMENT,EA,4511338055205,USD,6
CMMLS01,Copic Multiliner,CMMLS01,MULTILINER 0.1 SEPIA,EA,4511338008652,USD,12
CMMLS03,Copic Multiliner,CMMLS03,MULTILINER 0.3 SEPIA,EA,4511338008669,USD,12
CMMLS005,Copic Multiliner,CMMLS005,MULTILINER 0.05 SEPIA,EA,4511338008676,USD,12
CMMLG005,Copic Multiliner,CMMLG005,MULTILINER .05 GRAY,EA,4511338009482,USD,12
CMMLG01,Copic Multiliner,CMMLG01,MULTILINER 0.1 GRAY,EA,4511338009499,USD,12
CMMLG03,Copic Multiliner,CMMLG03,MULTILINER 0.3 GRAY,EA,4511338009505,USD,12
CMMLB005,Copic Multiliner,CMMLB005,MULTILINER 0.05 BLACK,EA,4511338010174,USD,12
CMMLB01,Copic Multiliner,CMMLB01,MULTILINER 0.1 BLACK,EA,4511338010181,USD,12
CMMLB03,Copic Multiliner,CMMLB03,MULTILINER 0.3 BLACK,EA,4511338010198,USD,12
CMMLB05,Copic Multiliner,CMMLB05,MULTILINER 0.5 BLACK,EA,4511338010204,USD,12
CMMLB08,Copic Multiliner,CMMLB08,MULTILINER 0.8 BLACK,EA,4511338010211,USD,12
CMMLB1,Copic Multiliner,CMMLB1,MULTILINER 1.0 BLACK,EA,4511338010228,USD,12
CMMLS05,Copic Multiliner,CMMLS05,MULTILINER 0.5 SEPIA,EA,4511338010389,USD,12
CMMLG05,Copic Multiliner,CMMLG05,MULTILINER 0.5 GRAY,EA,4511338010396,USD,12
CMMLW005,Copic Multiliner,CMMLW005,MULTILINER 0.05 WINE,EA,4511338010402,USD,12
CMMLW01,Copic Multiliner,CMMLW01,MULTILINER 0.1 WINE,EA,4511338010419,USD,12
CMMLW03,Copic Multiliner,CMMLW03,MULTILINER 0.3 WINE,EA,4511338010426,USD,12
CMMLW05,Copic Multiliner,CMMLW05,MULTILINER 0.5 WINE,EA,4511338010433,USD,12
CMMLC005,Copic Multiliner,CMMLC005,MULTILINER 0.05 COBALT,EA,4511338010440,USD,12
CMMLC01,Copic Multiliner,CMMLC01,MULTILINER 0.1 COBALT,EA,4511338010457,USD,12
CMMLC03,Copic Multiliner,CMMLC03,MULTILINER 0.3 COBALT,EA,4511338010464,USD,12
CMMLC05,Copic Multiliner,CMMLC05,MULTILINER .5 COBALT,EA,4511338010471,USD,12
CMMLO005,Copic Multiliner,CMMLO005,MULTILINER .05 OLIVE,EA,4511338010488,USD,12
CMMLO01,Copic Multiliner,CMMLO01,MULTILINER 0.1 OLIVE,EA,4511338010495,USD,12
CMMLO03,Copic Multiliner,CMMLO03,MULTILINER 0.3 OLIVE,EA,4511338010501,USD,12
CMMLO05,Copic Multiliner,CMMLO05,MULTILINER 0.5 OLIVE,EA,4511338010518,USD,12
CMMLBBS,Copic Multiliner,CMMLBBS,MULTILINER BRSH SMALL BLACK,EA,4511338022658,USD,12
CMMLBBM,Copic Multiliner,CMMLBBM,MULTILINER BRSH MED BLACK,EA,4511338022665,USD,12
CMMLB003,Copic Multiliner,CMMLB003,MULTILINER 0.03 BLACK,EA,4511338041017,USD,12
CMMLS003,Copic Multiliner,CMMLS003,MULTILINER 0.03 SEPIA,EA,4511338041475,USD,12
CMMLG003,Copic Multiliner,CMMLG003,MULTILINER 0.03 GRAY,EA,4511338041482,USD,12
CMMLWG003,Copic Multiliner,CMMLWG003,MULTILINER 0.03 WARM GRAY,EA,4511338041499,USD,12
CMMLWG005,Copic Multiliner,CMMLWG005,MULTILINER 0.05 WRM GRAY,EA,4511338041505,USD,12
CMMLWG01,Copic Multiliner,CMMLWG01,MULTILINER 0.1 WRM GRAY,EA,4511338041512,USD,12
CMMLWG03,Copic Multiliner,CMMLWG03,MULTILINER 0.3 WRM GRAY,EA,4511338041529,USD,12
CMMLWG05,Copic Multiliner,CMMLWG05,MULTILINER 0.5 WRM GRAY,EA,4511338041536,USD,12
CMMLSBS,Copic Multiliner,CMMLSBS,MULTILINER BRSH SMALL SEPIA,EA,4511338041567,USD,12
CMMLSBM,Copic Multiliner,CMMLSBM,MULTILINER BRSH MED SEPIA,EA,4511338041574,USD,12
CMMLBR003,Copic Multiliner,CMMLBR003,MULTILINER 0.03 BROWN,EA,4511338052563,USD,12
CMMLBR005,Copic Multiliner,CMMLBR005,MULTILINER 0.05 BROWN,EA,4511338052570,USD,12
CMMLBR01,Copic Multiliner,CMMLBR01,MULTILINER 0.1 BROWN,EA,4511338052587,USD,12
CMMLBR03,Copic Multiliner,CMMLBR03,MULTILINER 0.3 BROWN,EA,4511338052594,USD,12
CMMLBR05,Copic Multiliner,CMMLBR05,MULTILINER 0.5 BROWN,EA,4511338052600,USD,12
CMMLP005,Copic Multiliner,CMMLP005,MULTILINER 0.05 PINK,EA,4511338053751,USD,12
CMMLP01,Copic Multiliner,CMMLP01,MULTILINER 0.1 PINK,EA,4511338053768,USD,12
CMMLP03,Copic Multiliner,CMMLP03,MULTILINER 0.3 PINK,EA,4511338053775,USD,12
CMMLP05,Copic Multiliner,CMMLP05,MULTILINER 0.5 PINK,EA,4511338053782,USD,12
CMMLP003,Copic Multiliner,CMMLP003,MULTILINER 0.03 PINK,EA,4511338053997,USD,12
CMLLAV003,Copic Multiliner,CMLLAV003,MULTILINER 0.03 LAVENDER,EA,4511338054208,USD,12
CMLLAV005,Copic Multiliner,CMLLAV005,MULTILINER .05 LAVENDER,EA,4511338054215,USD,12
CMLLAV01,Copic Multiliner,CMLLAV01,MULTILINER 0.1 LAVENDER,EA,4511338054222,USD,12
CMLLAV03,Copic Multiliner,CMLLAV03,MULTILINER 0.3 LAVENDER,EA,4511338054239,USD,12
CMLLAV05,Copic Multiliner,CMLLAV05,MULTILINER 0.5 LAVENDER,EA,4511338054246,USD,12
CMMLBCS,Copic Multiliner,CMMLBCS,MULTILINER 2MM BLK CALLIGPH SM,EA,4511338055076,USD,12
CMMLBCM,Copic Multiliner,CMMLBCM,MULTILINER 4MM BLK CALLIGPH MD,EA,4511338055083,USD,12
CMCOPQBRSH,Copic paint w/Brush,CMCOPQBRSH,COPIC OPAQUE WHT 6ML W/BRSH,EA,4511338055212,USD,6
CMGASENFUDE,Copic Pen,CMGASENFUDE,GASENFUDE NYLON BRUSH PEN BLK,EA,4511338049174,USD,20
CMC0-S,Copic Sketch,CMC0-S,SKETCH MRKR COOL GRAY 0,EA,4511338002278,USD,3
CMC1-S,Copic Sketch,CMC1-S,SKETCH MRKR COOL GRAY 1,EA,4511338002285,USD,3
CMC2-S,Copic Sketch,CMC2-S,SKETCH MRKR COOL GRAY 2,EA,4511338002292,USD,3
CMC3-S,Copic Sketch,CMC3-S,SKETCH MRKR COOL GRAY 3,EA,4511338002308,USD,3
CMC4-S,Copic Sketch,CMC4-S,SKETCH MRKR COOL GRAY 4,EA,4511338002315,USD,3
CMC5-S,Copic Sketch,CMC5-S,SKETCH MRKR COOL GRAY 5,EA,4511338002322,USD,3
CMC6-S,Copic Sketch,CMC6-S,SKETCH MRKR COOL GRAY( 6 6),EA,4511338002339,USD,3
CMC7-S,Copic Sketch,CMC7-S,SKETCH MRKR COOL GRAY 7,EA,4511338002346,USD,3
CMC8-S,Copic Sketch,CMC8-S,SKETCH MRKR COOL GRAY 8,EA,4511338002353,USD,3
CMC9-S,Copic Sketch,CMC9-S,SKETCH MRKR COOL GRAY 9,EA,4511338002360,USD,3
CMC10-S,Copic Sketch,CMC10-S,SKETCH MRKR COOL GRAY 10,EA,4511338002377,USD,3
CMN1-S,Copic Sketch,CMN1-S,SKETCH MRKR NEUTRAL GRAY 1,EA,4511338002384,USD,3
CMN3-S,Copic Sketch,CMN3-S,SKETCH MRKR NEUTRAL GRAY 3,EA,4511338002391,USD,3
CMN5-S,Copic Sketch,CMN5-S,SKETCH MRKR NEUTRAL GRAY 5,EA,4511338002407,USD,3
CMN7-S,Copic Sketch,CMN7-S,SKETCH MRKR NEUTRAL GRAY 7,EA,4511338002414,USD,3
CMN9-S,Copic Sketch,CMN9-S,SKETCH MRKR NEUTRAL GRAY 9,EA,4511338002421,USD,3
CMW1-S,Copic Sketch,CMW1-S,SKETCH MRKR WARM GRAY  1,EA,4511338002438,USD,3
CMW3-S,Copic Sketch,CMW3-S,SKETCH MRKR WARM GRAY 3,EA,4511338002445,USD,3
CMW5-S,Copic Sketch,CMW5-S,SKETCH MRKR WARM GRAY 5,EA,4511338002452,USD,3
CMW7-S,Copic Sketch,CMW7-S,SKETCH MRKR WARM GRAY 7,EA,4511338002469,USD,3
CMW9-S,Copic Sketch,CMW9-S,SKETCH MRKR WARM GRAY 9,EA,4511338002476,USD,3
CM0-S,Copic Sketch,CM0-S,SKETCH COLORLESS BLENDER,EA,4511338002483,USD,3
CM100-S,Copic Sketch,CM100-S,SKETCH MRKR BLACK,EA,4511338002490,USD,3
CM110-S,Copic Sketch,CM110-S,SKETCH MRKR SPECIAL BLACK,EA,4511338002506,USD,3
CMB00-S,Copic Sketch,CMB00-S,SKETCH MRKR FROST BLUE,EA,4511338002513,USD,3
CMB01-S,Copic Sketch,CMB01-S,SKETCH MRKR MINT BLUE,EA,4511338002520,USD,3
CMB02-S,Copic Sketch,CMB02-S,SKETCH MRKR ROBINS EGG BLUE,EA,4511338002537,USD,3
CMB05-S,Copic Sketch,CMB05-S,SKETCH MRKR PROCESS BLUE,EA,4511338002544,USD,3
CMB06-S,Copic Sketch,CMB06-S,SKETCH MRKR PEACOCK BLUE,EA,4511338002551,USD,3
CMB12-S,Copic Sketch,CMB12-S,SKETCH MRKR ICE BLUE,EA,4511338002568,USD,3
CMB14-S,Copic Sketch,CMB14-S,SKETCH MRKR LIGHT BLUE,EA,4511338002575,USD,3
CMB18-S,Copic Sketch,CMB18-S,SKETCH MRKR LAPIS LAZULI,EA,4511338002582,USD,3
CMB21-S,Copic Sketch,CMB21-S,SKETCH MRKR BABY BLUE,EA,4511338002599,USD,3
CMB23-S,Copic Sketch,CMB23-S,SKETCH MRKR PHTHALO BLUE,EA,4511338002605,USD,3
CMB24-S,Copic Sketch,CMB24-S,SKETCH MRKR SKY,EA,4511338002612,USD,3
CMB26-S,Copic Sketch,CMB26-S,SKETCH MRKR COBALT BLUE,EA,4511338002629,USD,3
CMB29-S,Copic Sketch,CMB29-S,SKETCH MRKR ULTRAMARINE,EA,4511338002636,USD,3
CMB32-S,Copic Sketch,CMB32-S,SKETCH MRKR PALE BLUE,EA,4511338002643,USD,3
CMB34-S,Copic Sketch,CMB34-S,SKETCH MRKR MANGANESE BLUE,EA,4511338002650,USD,3
CMB37-S,Copic Sketch,CMB37-S,SKETCH MRKR ANTWERP BLUE,EA,4511338002667,USD,3
CMB39-S,Copic Sketch,CMB39-S,SKETCH MRKR PRUSSIAN BLUE,EA,4511338002674,USD,3
CMB41-S,Copic Sketch,CMB41-S,SKETCH MRKR POWDER BLUE,EA,4511338002681,USD,3
CMB45-S,Copic Sketch,CMB45-S,SKETCH MRKR SMOKY BLUE,EA,4511338002698,USD,3
CMBG02-S,Copic Sketch,CMBG02-S,SKETCH MRKR NEW BLUE,EA,4511338002704,USD,3
CMBG09-S,Copic Sketch,CMBG09-S,SKETCH MRKR BLUE GREEN,EA,4511338002711,USD,3
CMBG10-S,Copic Sketch,CMBG10-S,SKETCH MRKR COOL SHADOW,EA,4511338002728,USD,3
CMBG11-S,Copic Sketch,CMBG11-S,SKETCH MRKR MOON WHITE,EA,4511338002735,USD,3
CMBG13-S,Copic Sketch,CMBG13-S,SKETCH MRKR MINT GREEN,EA,4511338002742,USD,3
CMBG15-S,Copic Sketch,CMBG15-S,SKETCH MRKR AQUA,EA,4511338002759,USD,3
CMBG18-S,Copic Sketch,CMBG18-S,SKETCH MRKR TEAL BLUE,EA,4511338002766,USD,3
CMBG32-S,Copic Sketch,CMBG32-S,SKETCH MRKR AQUA MINT,EA,4511338002773,USD,3
CMBG45-S,Copic Sketch,CMBG45-S,SKETCH MRKR NILE BLUE,EA,4511338002780,USD,3
CMBG49-S,Copic Sketch,CMBG49-S,SKETCH MRKR DUCK BLUE,EA,4511338002797,USD,3
CMBV00-S,Copic Sketch,CMBV00-S,SKETCH MRKR MAUVE SHADOW,EA,4511338002803,USD,3
CMBV04-S,Copic Sketch,CMBV04-S,SKETCH MRKR BLUE BERRY,EA,4511338002810,USD,3
CMBV08-S,Copic Sketch,CMBV08-S,SKETCH MRKR BLUE VIOLET,EA,4511338002827,USD,3
CMBV23-S,Copic Sketch,CMBV23-S,SKETCH MRKR GRAYISH LAVENDR,EA,4511338002834,USD,3
CMBV31-S,Copic Sketch,CMBV31-S,SKETCH MRKR PALE LAVENDER,EA,4511338002841,USD,3
CME00-S,Copic Sketch,CME00-S,SKETCH MRKR COTTON PEARL,EA,4511338002858,USD,3
CME02-S,Copic Sketch,CME02-S,SKETCH MRKR FRUIT PINK,EA,4511338002865,USD,3
CME04-S,Copic Sketch,CME04-S,SKETCH MRKR LIPSTICK NATRAL,EA,4511338002872,USD,3
CME07-S,Copic Sketch,CME07-S,SKETCH MRKR LIGHT MAHOGANY,EA,4511338002889,USD,3
CME09-S,Copic Sketch,CME09-S,SKETCH MRKR BURNT SIENNA,EA,4511338002896,USD,3
CME11-S,Copic Sketch,CME11-S,SKETCH MRKR BARELY BEIGE,EA,4511338002902,USD,3
CME13-S,Copic Sketch,CME13-S,SKETCH MRKR DESERT SAND,EA,4511338002919,USD,3
CME15-S,Copic Sketch,CME15-S,SKETCH MRKR EARTHENWARE,EA,4511338002926,USD,3
CME21-S,Copic Sketch,CME21-S,SKETCH MRKR SOFT SUN,EA,4511338002933,USD,3
CME29-S,Copic Sketch,CME29-S,SKETCH MRKR BURNT UMBER,EA,4511338002940,USD,3
CME31-S,Copic Sketch,CME31-S,SKETCH MRKR BRICK BEIGE,EA,4511338002957,USD,3
CME33-S,Copic Sketch,CME33-S,SKETCH MRKR SAND,EA,4511338002964,USD,3
CME35-S,Copic Sketch,CME35-S,SKETCH MRKR CHAMOIS,EA,4511338002971,USD,3
CME37-S,Copic Sketch,CME37-S,SKETCH MRKR SEPIA,EA,4511338002988,USD,3
CME39-S,Copic Sketch,CME39-S,SKETCH MRKR LEATHER,EA,4511338002995,USD,3
CME40-S,Copic Sketch,CME40-S,SKETCH MRKR BRICK WHITE,EA,4511338003008,USD,3
CME41-S,Copic Sketch,CME41-S,SKETCH MRKR PEARL WHITE,EA,4511338003015,USD,3
CME43-S,Copic Sketch,CME43-S,SKETCH MRKR DULL IVORY,EA,4511338003022,USD,3
CME44-S,Copic Sketch,CME44-S,SKETCH MRKR CLAY,EA,4511338003039,USD,3
CME49-S,Copic Sketch,CME49-S,SKETCH MRKR DARK BARK,EA,4511338003046,USD,3
CME51-S,Copic Sketch,CME51-S,SKETCH MRKR MILKY WHITE,EA,4511338003053,USD,3
CME57-S,Copic Sketch,CME57-S,SKETCH MRKR LIGHT WALNUT,EA,4511338003060,USD,3
CMG00-S,Copic Sketch,CMG00-S,SKETCH MRKR JADE GREEN,EA,4511338003077,USD,3
CMG02-S,Copic Sketch,CMG02-S,SKETCH MRKR SPECTRUM GREEN,EA,4511338003084,USD,3
CMG05-S,Copic Sketch,CMG05-S,SKETCH MRKR EMERALD GREEN,EA,4511338003091,USD,3
CMG07-S,Copic Sketch,CMG07-S,SKETCH MRKR NILE GREEN,EA,4511338003107,USD,3
CMG12-S,Copic Sketch,CMG12-S,SKETCH MRKR SEA GREEN,EA,4511338003114,USD,3
CMG14-S,Copic Sketch,CMG14-S,SKETCH MRKR APPLE GREEN,EA,4511338003121,USD,3
CMG16-S,Copic Sketch,CMG16-S,SKETCH MRKR MALACHITE,EA,4511338003138,USD,3
CMG17-S,Copic Sketch,CMG17-S,SKETCH MRKR FOREST GREEN,EA,4511338003145,USD,3
CMG21-S,Copic Sketch,CMG21-S,SKETCH MRKR LIME GREEN,EA,4511338003152,USD,3
CMG28-S,Copic Sketch,CMG28-S,SKETCH MRKR OCEAN GREEN,EA,4511338003169,USD,3
CMG29-S,Copic Sketch,CMG29-S,SKETCH MRKR PINE TREE GREEN,EA,4511338003176,USD,3
CMG85-S,Copic Sketch,CMG85-S,SKETCH MRKR VERDIGRIS,EA,4511338003183,USD,3
CMG99-S,Copic Sketch,CMG99-S,SKETCH MRKR OLIVE,EA,4511338003190,USD,3
CMR02-S,Copic Sketch,CMR02-S,SKETCH MRKR ROSE SALMON,EA,4511338003206,USD,3
CMR08-S,Copic Sketch,CMR08-S,SKETCH MRKR VERMILLION,EA,4511338003213,USD,3
CMR20-S,Copic Sketch,CMR20-S,SKETCH MRKR BLUSH,EA,4511338003220,USD,3
CMR24-S,Copic Sketch,CMR24-S,SKETCH MRKR PRAWN,EA,4511338003237,USD,3
CMR27-S,Copic Sketch,CMR27-S,SKETCH MRKR CADMIUM RED,EA,4511338003244,USD,3
CMR29-S,Copic Sketch,CMR29-S,SKETCH MRKR LIPSTICK RED,EA,4511338003251,USD,3
CMR32-S,Copic Sketch,CMR32-S,SKETCH MRKR PEACH,EA,4511338003268,USD,3
CMR37-S,Copic Sketch,CMR37-S,SKETCH MRKR CARMINE,EA,4511338003275,USD,3
CMR39-S,Copic Sketch,CMR39-S,SKETCH MRKR GARNET,EA,4511338003282,USD,3
CMR59-S,Copic Sketch,CMR59-S,SKETCH MRKR CARDINAL,EA,4511338003299,USD,3
CMRV04-S,Copic Sketch,CMRV04-S,SKETCH MRKR SHOCK PINK,EA,4511338003305,USD,3
CMRV06-S,Copic Sketch,CMRV06-S,SKETCH MRKR CERISE,EA,4511338003312,USD,3
CMRV09-S,Copic Sketch,CMRV09-S,SKETCH MRKR FUCHSIA,EA,4511338003329,USD,3
CMRV11-S,Copic Sketch,CMRV11-S,SKETCH MRKR PINK,EA,4511338003336,USD,3
CMRV19-S,Copic Sketch,CMRV19-S,SKETCH MRKR RED VIOLET,EA,4511338003343,USD,3
CMRV21-S,Copic Sketch,CMRV21-S,SKETCH MRKR LIGHT PINK,EA,4511338003350,USD,3
CMRV29-S,Copic Sketch,CMRV29-S,SKETCH MRKR CRIMSON,EA,4511338003367,USD,3
CMRV34-S,Copic Sketch,CMRV34-S,SKETCH MRKR DARK PINK,EA,4511338003374,USD,3
CMV04-S,Copic Sketch,CMV04-S,SKETCH MRKR LILAC,EA,4511338003381,USD,3
CMV06-S,Copic Sketch,CMV06-S,SKETCH MRKR LAVENDER,EA,4511338003398,USD,3
CMV09-S,Copic Sketch,CMV09-S,SKETCH MRKR VIOLET,EA,4511338003404,USD,3
CMV12-S,Copic Sketch,CMV12-S,SKETCH MRKR PALE LILAC,EA,4511338003411,USD,3
CMV15-S,Copic Sketch,CMV15-S,SKETCH MRKR MALLOW,EA,4511338003428,USD,3
CMV17-S,Copic Sketch,CMV17-S,SKETCH MRKR AMETHYST,EA,4511338003435,USD,3
CMY00-S,Copic Sketch,CMY00-S,SKETCH MRKR BARIUM YELLOW,EA,4511338003442,USD,3
CMY02-S,Copic Sketch,CMY02-S,SKETCH MRKR CANARY YELLOW,EA,4511338003459,USD,3
CMY06-S,Copic Sketch,CMY06-S,SKETCH MRKR YELLOW,EA,4511338003466,USD,3
