Macpherson  Item #,Item Category,Mac  ID Reference,Description,UOM,Copic Item No/ UPC,Currency,Incremental MOQ
CMB29-I,Copic Ciao,CMB29-I,CIAO MRKR ULTRA MARINE,EA,4511338008058,USD,3
CMB39-I,Copic Ciao,CMB39-I,CIAO MRKR PRUSSIAN BLUE,EA,4511338008065,USD,3
CME00-I,Copic Ciao,CME00-I,CIAO MRKR COTTON PEARL,EA,4511338008072,USD,3
CME02-I,Copic Ciao,CME02-I,CIAO MRKR FRUIT PINK,EA,4511338008089,USD,3
CME51-I,Copic Ciao,CME51-I,CIAO MRKR MILKY WHITE,EA,4511338008096,USD,3
CME21-I,Copic Ciao,CME21-I,CIAO MRKR SOFT SUN,EA,4511338008102,USD,3
CME33-I,Copic Ciao,CME33-I,CIAO MRKR SAND,EA,4511338008119,USD,3
CME35-I,Copic Ciao,CME35-I,CIAO MRKR CHAMOIS,EA,4511338008126,USD,3
CME04-I,Copic Ciao,CME04-I,CIAO MRKR LIPSTICK NATURAL,EA,4511338008133,USD,3
CME37-I,Copic Ciao,CME37-I,CIAO MRKR SEPIA,EA,4511338008140,USD,3
CME47-I,Copic Ciao,CME47-I,CIAO MRKR DARK BROWN,EA,4511338008157,USD,3
CME08-I,Copic Ciao,CME08-I,CIAO MRKR BROWN,EA,4511338008164,USD,3
CME29-I,Copic Ciao,CME29-I,CIAO MRKR BURNT UMBER,EA,4511338008171,USD,3
CMC1-I,Copic Ciao,CMC1-I,CIAO MRKR COOL GRAY NO. 1,EA,4511338008188,USD,3
CMC3-I,Copic Ciao,CMC3-I,CIAO MRKR COOL GRAY 3,EA,4511338008195,USD,3
CMC5-I,Copic Ciao,CMC5-I,CIAO MRKR COOL GRAY 5,EA,4511338008201,USD,3
CMC7-I,Copic Ciao,CMC7-I,CIAO MRKR COOL GRAY 7,EA,4511338008218,USD,3
CM100-I,Copic Ciao,CM100-I,CIAO MRKR BLACK,EA,4511338008232,USD,3
CMB02-I,Copic Ciao,CMB02-I,CIAO MRKR ROBINS EGG BLUE,EA,4511338010532,USD,3
CMB12-I,Copic Ciao,CMB12-I,CIAO MRKR ICE BLUE,EA,4511338010549,USD,3
CMB45-I,Copic Ciao,CMB45-I,CIAO MRKR SMOKY BLUE,EA,4511338010556,USD,3
CMB60-I,Copic Ciao,CMB60-I,CIAO MRKR PALE BLUE GRAY,EA,4511338010563,USD,3
CMB63-I,Copic Ciao,CMB63-I,CIAO MRKR LIGHT HYDRANGEA,EA,4511338010570,USD,3
CMB93-I,Copic Ciao,CMB93-I,CIAO MRKR LT CROCKERY BLUE,EA,4511338010587,USD,3
CMB95-I,Copic Ciao,CMB95-I,CIAO MRKR LT GRAYISH COBALT,EA,4511338010594,USD,3
CMB97-I,Copic Ciao,CMB97-I,CIAO MRKR NIGHT BLUE,EA,4511338010600,USD,3
CMBG05-I,Copic Ciao,CMBG05-I,CIAO MRKR HOLIDAY BLUE,EA,4511338010617,USD,3
CMBG34-I,Copic Ciao,CMBG34-I,CIAO MRKR HORIZON GREEN,EA,4511338010624,USD,3
